"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_I_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_clicks_P_thetas","tv_S_thetas","facebook_I_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_clicks_P_alphas","tv_S_alphas","facebook_I_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_clicks_P_gammas","tv_S_gammas","cluster","n","top_sol"
"41","5_231_5",0,0.362496786380291,0.0389483719880903,0.046216953741051,0.0514010085675291,0.0389483719880903,0,0.653879531745937,0.656384266260821,0.852543763769509,0.0572103735266761,0.110223079891778,0.282568969998681,0.313556407916123,0.0249782101467745,0.970825794741286,0.527866096829232,0.755095139399049,0.751300344738145,0.100688540734824,0.099391011628288,0.100837608422649,0.340762956726679,0.00338533550785013,2,11,FALSE
"42","5_232_3",0,0.317715076491495,0.0416857348627445,0.0505678779818683,0.051517768783944,0.0416857348627445,0.774979664713712,0.966650254070323,0.645303230922308,0.462973773704192,0.0634880079100093,0.328355335962231,0.258968264784157,0.15992481450566,0.343646147604986,0.962267099832106,0.599298850702267,0.762606979196051,0.733188736086891,0.585311540832276,0.552071012697111,0.184962977764768,0.434042661538082,0.00582592725523658,8,25,FALSE
"43","5_235_7",0,0.368531865832949,0.0383904371544484,0.0459471000533581,0.0513309979408604,0.0383904371544484,0.396986828126975,0.793609619028618,0.799814772103788,0.975816580411071,0.153414476878304,0.110223079891778,0.270220206584152,0.228324614977409,0.00156372930805586,0.876761603126372,0.429283642973353,0.755095139399049,0.731887742223016,0.284606947552877,0.485280281971068,0.316066264333694,0.55234294700297,0.00338533550785013,2,11,FALSE
"44","5_237_2",0,0.266548218320558,0.0444515923502035,0.0519700415343755,0.0516619538440611,0.0444515923502035,0.933889712641605,0.997618934492184,0.981684328441016,0.369569689655143,0.913756949483457,0.104040965122945,0.359292824271326,0.209359191846798,0.0921418077047664,0.945822013805164,0.681442427402381,0.818475830566386,0.805238287667053,0.92672297256646,0.93676028126666,0.287753813994993,0.299329615093458,0.0242363474230826,4,14,FALSE
"45","5_242_4",0,0.324524822334654,0.0425048379698245,0.0501471327043488,0.0513760282478557,0.0425048379698245,0.647284300371823,0.977650136927479,0.93293558750167,0.438926896475803,0.62907686434398,0.134138064099814,0.236625589479077,0.19498132818368,0.00574907167991609,1,0.711665870575499,0.778168152235266,0.669390450136055,0.864599181886376,0.756304984359281,0.043619064519061,0.293438224160559,0.0203760777759937,3,13,FALSE
"46","5_243_7",0,0.431337548933512,0.0383912909021638,0.0470201219976705,0.0513121201248268,0.0383912909021638,0.918779544555333,0.748765998298857,0.752076041307929,0.779240201902307,0.991371222363235,0.267156988729744,0.33624302001042,0.129407163548852,0.39763019211083,0.993423949656414,0.42588413470912,0.718778111258239,0.68286839041495,0.320416871062891,0.581170968028478,0.521720136239943,0.390936437883402,0.00619523012030921,4,14,FALSE
"47","5_244_4",0,0.368160267621598,0.0386504493360026,0.0462271727204374,0.0513140197870201,0.0386504493360026,0.396986828126975,0.793609619028618,0.824229868835449,0.90263535672028,0.153414476878304,0.110223079891778,0.270220206584152,0.228324614977409,0.00156372930805586,0.827959243110053,0.367688870509688,0.755095139399049,0.731887742223016,0.284606947552877,0.485280281971068,0.232576500839951,0.628240322215089,0.00338533550785013,2,11,FALSE
"48","5_244_5",0,0.371719814913669,0.0384597913826328,0.0465198407048295,0.0511992386809658,0.0384597913826328,0.180263825848695,0.571415789590301,0.879658627814136,0.802547144625973,0.880160573528615,0.081269918973758,0.227721163065098,0.186138016998561,0.19404629771868,0.976516830881549,0.464533671759246,0.771951118361809,0.733940275200538,0.119292050753377,0.177905446779972,0.370292422768511,0.396200817209277,0.00473006436627498,5,7,FALSE
"49","5_248_2",0,0.424862686022797,0.0383553667897076,0.0468817335360956,0.0513392564614668,0.0383553667897076,0.918779544555333,0.641587097563984,0.707740964412014,0.779240201902307,0.991371222363235,0.267156988729744,0.33624302001042,0.129407163548852,0.14232712711404,0.993423949656414,0.42588413470912,0.718778111258239,0.68286839041495,0.115945579405298,0.971732920566697,0.521720136239943,0.390936437883402,0.00619523012030921,4,14,FALSE
"50","5_248_6",0,0.371819295856747,0.0385556128643654,0.0462367796895341,0.0513826302960405,0.0385556128643654,0.396986828126975,0.793609619028618,0.824229868835449,0.90263535672028,0.153414476878304,0.174850306572636,0.270220206584152,0.228324614977409,0.00156372930805586,0.827959243110053,0.367688870509688,0.755095139399049,0.731887742223016,0.284606947552877,0.485280281971068,0.232576500839951,0.628240322215089,0.00338533550785013,2,11,FALSE
"51","5_249_1",0,0.259449843607008,0.0439288160687377,0.051338850561526,0.0513192240242844,0.0439288160687377,0.511229211028204,0.906609266444369,0.876097042713866,0.287128611418645,0.24465015617533,0.00358861892519121,0.355393738663661,0.27913890552643,0.0222165268401233,0.984217994730574,0.596946301327452,0.78594847409294,0.813427332254902,0.966636749367784,0.642794321818731,0.357530174011481,0.262588287957085,0.00502307600027877,8,25,FALSE
"52","5_249_5",0,0.250829247053739,0.0435225724654501,0.0505417907865482,0.0518653621235255,0.0435225724654501,0.890851255522455,0.947295515939675,0.920702664436211,0.62532334181313,0.841451327199024,0.244617892600873,0.375690966065297,0.269788423802101,0.0151987307667069,0.94823546485945,0.614166058341995,0.768459949439044,0.709951986379519,0.626084942890934,0.0249444009830635,0.384487243323203,0.29305460382142,0.0215816345648396,9,16,FALSE
"53","5_250_3",0,0.239556210960604,0.0469362510689493,0.051583650015774,0.051591106854438,0.0469362510689493,0.672598435914053,0.950700998817418,0.780049002961002,0.491105945522964,0.708973232616015,0.0587747271065837,0.271228155398604,0.365622922675107,0.0437524464798321,0.863067977936531,0.775035709865666,0.92582415640371,0.794563271905086,0.556335236386999,0,0.0913349260717657,0.759708586605935,0.016862711450623,9,16,FALSE
"54","5_252_1",0,0.246803035969645,0.0466310314993152,0.0531363766254028,0.0522499185643691,0.0466310314993152,0.269774759611399,0.983923451143745,0.842271966349241,0.557742406955637,0.129926479667919,0.254043594902606,0.271289192042705,0.273757383624169,0.00396844166092828,0.975844966767437,0.663826413617217,0.856732816330952,0.837718042394844,0.916881165550208,0.333347540091874,0.309729261651167,0.19442359077245,0.0310352498988936,8,25,FALSE
"55","5_253_3",0,0.265125408373232,0.0440373593524679,0.0512880458873447,0.0514097058129769,0.0440373593524679,0.837387771807439,0.906609266444369,0.876097042713866,0.287128611418645,0.24465015617533,0.00358861892519121,0.355393738663661,0.30607562723924,0.0222165268401233,0.984217994730574,0.596946301327452,0.78594847409294,0.813427332254902,0.395740844219158,0.642794321818731,0.357530174011481,0.262588287957085,0.00502307600027877,8,25,FALSE
"56","5_255_3",0,0.328626356957967,0.0404804249546347,0.04961872407778,0.051169691512964,0.0404804249546347,0.647284300371823,0.977650136927479,0.79769963896292,0.266143049100646,0.799862986322819,0.134138064099814,0.236625589479077,0.19498132818368,0.081628409295018,0.961892453840182,0.735140340664591,0.913540462188805,0.669390450136055,0.864599181886376,0.461419605264495,0.129210322082866,0.149249894095901,0.0262271079596736,3,13,FALSE
"57","5_255_4",0,0.23900321196782,0.0476541116931042,0.0524994724918303,0.0531644883572872,0.0476541116931042,0.650950274393408,0.900883375399709,0.953590245077733,1,0.824581383595377,0.356906283708702,0.347847025841385,0.333647489232646,0.029739088487133,0.947478893660332,0.463503175454976,0.856639253719196,0.810551852459929,0.984442112419506,0.0990661040560805,0.457769348834696,0.207540705926294,0.0429715878044541,9,16,FALSE
"58","5_256_3",0,0.291060744952564,0.043175429130285,0.0510413425545008,0.0517786482040825,0.043175429130285,0.691916985368533,0.975213308898272,0.869891650356547,0.46743546673082,0.00734468378608136,0.290330459074826,0.300892397944319,0.209836533226745,0.341937613390402,0.967384379166301,0.500427178740418,0.856732816330952,0.726534048354822,0.964909528105315,0.668299793496005,0.427583416843241,0.465086843517539,0.0310352498988936,8,25,FALSE
"59","5_257_3",0,0.353703032186628,0.0391663627930237,0.0473936565094287,0.0512198505846816,0.0391663627930237,0.61654125921847,0.794515064842387,0.859885863421518,0.68459618244623,0.489558889497715,0.110223079891778,0.21543823447414,0.152243402136342,0.0547969996719251,0.801536671060965,0.452329489054578,0.849332608217699,0.678201839030948,0.565777337645309,0.502091289648114,0.271007227939511,0.472980442615212,0.0144412773901509,8,25,FALSE
"60","5_257_4",0,0.364621620906957,0.0389431549999985,0.0471441571792233,0.0512220596383419,0.0389431549999985,0.783164535304598,0.912378305491228,0.961279188226886,0.802547144625973,0.907037674313579,0.0994867558865595,0.332978492006352,0.204714956877151,0.112522705691535,0.951960977186476,0.464533671759246,0.809170888102521,0.790978685225396,0.765236788161473,0.784989314369322,0.370292422768511,0.318703855449676,0.0203350908179844,4,14,FALSE
"61","5_258_4",0,0.256314945586256,0.0449076117089856,0.0499410250452957,0.0516487502424204,0.0449076117089856,0.584135288163851,0.898682914542526,0.928249403382362,0.887887562861347,0.0822795387540214,0,0.403471812418097,0.259985833263554,0.104064098209768,0.967883905570499,0.506111500073115,0.759436074505371,0.773667716578052,0.801580380078488,0.0737212318976323,0.303157979880709,0.607799731441111,0.00163621061926366,8,25,TRUE
"62","5_258_5",0,0.394468190191466,0.0379858896974888,0.0468881828338362,0.0512458424291311,0.0379858896974888,0.091484416513376,0.672195310763541,0.726014689323484,0.648926126471585,0.913756949483457,0.312100331192079,0.40932846021844,0.298621241757797,0.0936648813719129,0.951121254670522,0.681442427402381,0.70156421871297,0.73970342066546,0.00273074743550635,0.126342061940518,0.465342667377841,0.299329615093458,0.00399893144894437,5,7,FALSE
"63","5_259_5",0,0.332323985704215,0.0406012468131783,0.0493749674711948,0.0511855684317979,0.0406012468131783,0.796192815287349,0.809578358072968,0.79769963896292,0.266143049100646,0.799862986322819,0.134138064099814,0.209715594132834,0.171915073785938,0.081628409295018,0.961892453840182,0.735140340664591,0.913540462188805,0.645589302681479,0.718414232978132,0.461419605264495,0.129210322082866,0.149249894095901,0.0262271079596736,3,13,FALSE
"64","5_259_7",0,0.262840266865806,0.0433348317600023,0.0504198170783703,0.0517843171866816,0.0433348317600023,0.850966191496357,0.923937587369726,0.852672602142586,0.633893686886997,0.852923746595267,0.212592202104983,0.348752337535907,0.27859405496633,0.0391743029281641,0.940353629810728,0.612222252552153,0.765342956952058,0.706723050232457,0.544242064494913,0.11743480920986,0.377304300087112,0.265413252536985,0.019248606236425,9,16,FALSE
"65","5_261_1",0,0.348956953287365,0.0393800753560971,0.0471543466421484,0.0512764426856772,0.0393800753560971,0.918779544555333,0.641587097563984,0.707740964412014,0.779240201902307,0.882308665047673,0.267156988729744,0.33624302001042,0.129407163548852,0.14232712711404,0.993423949656414,0.648290566124155,0.718778111258239,0.68286839041495,0.115945579405298,0.971732920566697,0.521720136239943,0.755759039649774,0.00619523012030921,4,14,FALSE
"66","5_261_2",0,0.304751102624354,0.0423404844942292,0.0489012775369378,0.0524337974039956,0.0423404844942292,0.889200475778418,0.979695900868034,0.815374227360611,0.979883491236529,0.805234899301058,0.453858119866463,0.304687876071056,0.215841685425238,0.0299111741568397,0.917711291996615,0.595688251251363,0.794823276945131,0.730602384574623,0.522868346013289,0.787352812454795,0.0671400537451038,0.519169776900596,0.00476305472533238,4,14,FALSE
"67","5_262_2",0,0.325926352588333,0.040916455408703,0.0481841143211698,0.0517139586820928,0.040916455408703,0.888853851421584,0.808730817981185,0.957367701732879,0.884817157047805,0.104955699955794,0.218424313859274,0.299914138095204,0.154902708619327,0.316963104694375,0.9942811405568,0.370628541169734,0.808923280771294,0.650664189979378,0.17059298014311,0.701328709122914,0.592238085102501,0.686274467612463,0.0205305534848543,2,11,FALSE
"68","5_262_4",0,0.258275538025622,0.0443677590796455,0.0497583596523192,0.0523147345735151,0.0443677590796455,0.890851255522455,0.947295515939675,0.836439914775731,0.908971461310884,0.812478184943922,0.244617892600873,0.375690966065297,0.269788423802101,0.0151987307667069,0.923816126467287,0.599383812693627,0.789550611466863,0.709951986379519,0.626084942890934,0.0249444009830635,0.130609491593203,0.473946742262445,0.0215816345648396,9,16,TRUE
